Parse Process Log
=================

------------------------------------------------------------
Step   Stack                                    Input                          Action
284    $ . end statement_list' statement d...   1 to 10 do sum := sum + a...   PREDICT simple_expression -> term simple_expression'
285    $ . end statement_list' statement d...   1 to 10 do sum := sum + a...   PREDICT term -> factor term'
286    $ . end statement_list' statement d...   1 to 10 do sum := sum + a...   PREDICT factor -> num
287    $ . end statement_list' statement d...   1 to 10 do sum := sum + a...   MATCH 'num'
288    $ . end statement_list' statement d...   to 10 do sum := sum + arr...   REDUCE factor -> num
289    $ . end statement_list' statement d...   to 10 do sum := sum + arr...   PREDICT term' -> epsilon
290    $ . end statement_list' statement d...   to 10 do sum := sum + arr...   REDUCE term' -> epsilon
291    $ . end statement_list' statement d...   to 10 do sum := sum + arr...   REDUCE term -> factor term'
292    $ . end statement_list' statement d...   to 10 do sum := sum + arr...   PREDICT simple_expression' -> epsilon
293    $ . end statement_list' statement d...   to 10 do sum := sum + arr...   REDUCE simple_expression' -> epsilon
294    $ . end statement_list' statement d...   to 10 do sum := sum + arr...   REDUCE simple_expression -> term simple_expression'
295    $ . end statement_list' statement d...   to 10 do sum := sum + arr...   PREDICT expression_tail -> epsilon
296    $ . end statement_list' statement d...   to 10 do sum := sum + arr...   REDUCE expression_tail -> epsilon
297    $ . end statement_list' statement d...   to 10 do sum := sum + arr...   REDUCE expression -> simple_expression expression_tail
298    $ . end statement_list' statement d...   to 10 do sum := sum + arr...   MATCH 'to'
299    $ . end statement_list' statement d...   10 do sum := sum + arr [ ...   PREDICT expression -> simple_expression expression_tail
300    $ . end statement_list' statement d...   10 do sum := sum + arr [ ...   PREDICT simple_expression -> term simple_expression'
301    $ . end statement_list' statement d...   10 do sum := sum + arr [ ...   PREDICT term -> factor term'
302    $ . end statement_list' statement d...   10 do sum := sum + arr [ ...   PREDICT factor -> num
303    $ . end statement_list' statement d...   10 do sum := sum + arr [ ...   MATCH 'num'
304    $ . end statement_list' statement d...   do sum := sum + arr [ i ]...   REDUCE factor -> num
305    $ . end statement_list' statement d...   do sum := sum + arr [ i ]...   PREDICT term' -> epsilon
306    $ . end statement_list' statement d...   do sum := sum + arr [ i ]...   REDUCE term' -> epsilon
307    $ . end statement_list' statement d...   do sum := sum + arr [ i ]...   REDUCE term -> factor term'
308    $ . end statement_list' statement d...   do sum := sum + arr [ i ]...   PREDICT simple_expression' -> epsilon
309    $ . end statement_list' statement d...   do sum := sum + arr [ i ]...   REDUCE simple_expression' -> epsilon
310    $ . end statement_list' statement d...   do sum := sum + arr [ i ]...   REDUCE simple_expression -> term simple_expression'
311    $ . end statement_list' statement d...   do sum := sum + arr [ i ]...   PREDICT expression_tail -> epsilon
312    $ . end statement_list' statement do     do sum := sum + arr [ i ]...   REDUCE expression_tail -> epsilon
313    $ . end statement_list' statement do     do sum := sum + arr [ i ]...   REDUCE expression -> simple_expression expression_tail
314    $ . end statement_list' statement do     do sum := sum + arr [ i ]...   MATCH 'do'
315    $ . end statement_list' statement        sum := sum + arr [ i ] ; ...   PREDICT statement -> id statement_id_tail
316    $ . end statement_list' statement_i...   sum := sum + arr [ i ] ; ...   MATCH 'id'
317    $ . end statement_list' statement_i...   := sum + arr [ i ] ; writ...   PREDICT statement_id_tail -> assignop expression
318    $ . end statement_list' expression ...   := sum + arr [ i ] ; writ...   MATCH 'assignop'
319    $ . end statement_list' expression       sum + arr [ i ] ; write (...   PREDICT expression -> simple_expression expression_tail
320    $ . end statement_list' expression_...   sum + arr [ i ] ; write (...   PREDICT simple_expression -> term simple_expression'
321    $ . end statement_list' expression_...   sum + arr [ i ] ; write (...   PREDICT term -> factor term'
322    $ . end statement_list' expression_...   sum + arr [ i ] ; write (...   PREDICT factor -> id factor_id_tail
323    $ . end statement_list' expression_...   sum + arr [ i ] ; write (...   MATCH 'id'
324    $ . end statement_list' expression_...   + arr [ i ] ; write ( sum...   PREDICT factor_id_tail -> epsilon
325    $ . end statement_list' expression_...   + arr [ i ] ; write ( sum...   REDUCE factor_id_tail -> epsilon
326    $ . end statement_list' expression_...   + arr [ i ] ; write ( sum...   REDUCE factor -> id factor_id_tail
327    $ . end statement_list' expression_...   + arr [ i ] ; write ( sum...   PREDICT term' -> epsilon
328    $ . end statement_list' expression_...   + arr [ i ] ; write ( sum...   REDUCE term' -> epsilon
329    $ . end statement_list' expression_...   + arr [ i ] ; write ( sum...   REDUCE term -> factor term'
330    $ . end statement_list' expression_...   + arr [ i ] ; write ( sum...   PREDICT simple_expression' -> addop term simple_expression'
331    $ . end statement_list' expression_...   + arr [ i ] ; write ( sum...   MATCH 'addop'
332    $ . end statement_list' expression_...   arr [ i ] ; write ( sum )...   PREDICT term -> factor term'
333    $ . end statement_list' expression_...   arr [ i ] ; write ( sum )...   PREDICT factor -> id factor_id_tail
334    $ . end statement_list' expression_...   arr [ i ] ; write ( sum )...   MATCH 'id'
335    $ . end statement_list' expression_...   [ i ] ; write ( sum ) end...   PREDICT factor_id_tail -> [ expression_list ]
336    $ . end statement_list' expression_...   [ i ] ; write ( sum ) end...   MATCH '['
337    $ . end statement_list' expression_...   i ] ; write ( sum ) end ....   PREDICT expression_list -> expression expression_list'
338    $ . end statement_list' expression_...   i ] ; write ( sum ) end ....   PREDICT expression -> simple_expression expression_tail
339    $ . end statement_list' expression_...   i ] ; write ( sum ) end ....   PREDICT simple_expression -> term simple_expression'
340    $ . end statement_list' expression_...   i ] ; write ( sum ) end ....   PREDICT term -> factor term'
341    $ . end statement_list' expression_...   i ] ; write ( sum ) end ....   PREDICT factor -> id factor_id_tail
342    $ . end statement_list' expression_...   i ] ; write ( sum ) end ....   MATCH 'id'
343    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    PREDICT factor_id_tail -> epsilon
344    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    REDUCE factor_id_tail -> epsilon
345    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    REDUCE factor -> id factor_id_tail
346    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    PREDICT term' -> epsilon
347    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    REDUCE term' -> epsilon
348    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    REDUCE term -> factor term'
349    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    PREDICT simple_expression' -> epsilon
350    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    REDUCE simple_expression' -> epsilon
351    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    REDUCE simple_expression -> term simple_expression'
352    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    PREDICT expression_tail -> epsilon
353    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    REDUCE expression_tail -> epsilon
354    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    REDUCE expression -> simple_expression expression_tail
355    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    PREDICT expression_list' -> epsilon
356    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    REDUCE expression_list' -> epsilon
357    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    REDUCE expression_list -> expression expression_list'
358    $ . end statement_list' expression_...   ] ; write ( sum ) end . EOF    MATCH ']'
359    $ . end statement_list' expression_...   ; write ( sum ) end . EOF      REDUCE factor_id_tail -> [ expression_list ]
360    $ . end statement_list' expression_...   ; write ( sum ) end . EOF      REDUCE factor -> id factor_id_tail
361    $ . end statement_list' expression_...   ; write ( sum ) end . EOF      PREDICT term' -> epsilon
362    $ . end statement_list' expression_...   ; write ( sum ) end . EOF      REDUCE term' -> epsilon
363    $ . end statement_list' expression_...   ; write ( sum ) end . EOF      REDUCE term -> factor term'
364    $ . end statement_list' expression_...   ; write ( sum ) end . EOF      PREDICT simple_expression' -> epsilon
365    $ . end statement_list' expression_...   ; write ( sum ) end . EOF      REDUCE simple_expression' -> epsilon
366    $ . end statement_list' expression_...   ; write ( sum ) end . EOF      REDUCE simple_expression' -> addop term simple_expression'
367    $ . end statement_list' expression_...   ; write ( sum ) end . EOF      REDUCE simple_expression -> term simple_expression'
368    $ . end statement_list' expression_...   ; write ( sum ) end . EOF      PREDICT expression_tail -> epsilon
369    $ . end statement_list'                  ; write ( sum ) end . EOF      REDUCE expression_tail -> epsilon
370    $ . end statement_list'                  ; write ( sum ) end . EOF      REDUCE expression -> simple_expression expression_tail
371    $ . end statement_list'                  ; write ( sum ) end . EOF      REDUCE statement_id_tail -> assignop expression
372    $ . end statement_list'                  ; write ( sum ) end . EOF      REDUCE statement -> id statement_id_tail
373    $ . end statement_list'                  ; write ( sum ) end . EOF      REDUCE statement -> for id assignop expression to expression do statement
374    $ . end statement_list'                  ; write ( sum ) end . EOF      PREDICT statement_list' -> ; statement statement_list'
375    $ . end statement_list' statement ;      ; write ( sum ) end . EOF      MATCH ';'
376    $ . end statement_list' statement        write ( sum ) end . EOF        PREDICT statement -> write ( expression_list )
377    $ . end statement_list' ) expressio...   write ( sum ) end . EOF        MATCH 'write'
378    $ . end statement_list' ) expressio...   ( sum ) end . EOF              MATCH '('
379    $ . end statement_list' ) expressio...   sum ) end . EOF                PREDICT expression_list -> expression expression_list'
380    $ . end statement_list' ) expressio...   sum ) end . EOF                PREDICT expression -> simple_expression expression_tail
381    $ . end statement_list' ) expressio...   sum ) end . EOF                PREDICT simple_expression -> term simple_expression'
382    $ . end statement_list' ) expressio...   sum ) end . EOF                PREDICT term -> factor term'
383    $ . end statement_list' ) expressio...   sum ) end . EOF                PREDICT factor -> id factor_id_tail
384    $ . end statement_list' ) expressio...   sum ) end . EOF                MATCH 'id'
385    $ . end statement_list' ) expressio...   ) end . EOF                    PREDICT factor_id_tail -> epsilon
386    $ . end statement_list' ) expressio...   ) end . EOF                    REDUCE factor_id_tail -> epsilon
387    $ . end statement_list' ) expressio...   ) end . EOF                    REDUCE factor -> id factor_id_tail
388    $ . end statement_list' ) expressio...   ) end . EOF                    PREDICT term' -> epsilon
389    $ . end statement_list' ) expressio...   ) end . EOF                    REDUCE term' -> epsilon
390    $ . end statement_list' ) expressio...   ) end . EOF                    REDUCE term -> factor term'
391    $ . end statement_list' ) expressio...   ) end . EOF                    PREDICT simple_expression' -> epsilon
392    $ . end statement_list' ) expressio...   ) end . EOF                    REDUCE simple_expression' -> epsilon
393    $ . end statement_list' ) expressio...   ) end . EOF                    REDUCE simple_expression -> term simple_expression'
394    $ . end statement_list' ) expressio...   ) end . EOF                    PREDICT expression_tail -> epsilon
395    $ . end statement_list' ) expressio...   ) end . EOF                    REDUCE expression_tail -> epsilon
396    $ . end statement_list' ) expressio...   ) end . EOF                    REDUCE expression -> simple_expression expression_tail
397    $ . end statement_list' ) expressio...   ) end . EOF                    PREDICT expression_list' -> epsilon
398    $ . end statement_list' )                ) end . EOF                    REDUCE expression_list' -> epsilon
399    $ . end statement_list' )                ) end . EOF                    REDUCE expression_list -> expression expression_list'
400    $ . end statement_list' )                ) end . EOF                    MATCH ')'
401    $ . end statement_list'                  end . EOF                      REDUCE statement -> write ( expression_list )
402    $ . end statement_list'                  end . EOF                      PREDICT statement_list' -> epsilon
403    $ . end                                  end . EOF                      REDUCE statement_list' -> epsilon
404    $ . end                                  end . EOF                      REDUCE statement_list' -> ; statement statement_list'
405    $ . end                                  end . EOF                      REDUCE statement_list' -> ; statement statement_list'
406    $ . end                                  end . EOF                      REDUCE statement_list' -> ; statement statement_list'
407    $ . end                                  end . EOF                      REDUCE statement_list -> statement statement_list'
408    $ . end                                  end . EOF                      MATCH 'end'
409    $ .                                      . EOF                          REDUCE compound_statement -> begin statement_list end
410    $ .                                      . EOF                          REDUCE program_body -> const_declarations var_declarations subprogram_declarations compound_statement
411    $ .                                      . EOF                          MATCH '.'
412    $                                        EOF                            REDUCE programstruct -> program_head ; program_body .
413    $                                        EOF                            ACCEPT
------------------------------------------------------------
